Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Marseille,1743.63,2.6,1.4,0.7,FRA
Troyes,1436.96,1.2,1.0,0.6,FRA
Paris SG,1948.38,1.8,1.6,0.5,FRA
Strasbourg,1714.25,1.6,1.2,0.6,FRA
Wasquehal,1433.95,0.6,1.0,0.4,FRA
Nancy,1287.34,1.0,2.2,0.3,FRA
Niort,1260.03,0.8,2.2,0.1,FRA
Angers,1535.58,1.2,1.0,0.6,FRA
Nimes,1309.1,1.8,2.6,0.3,FRA
Sochaux,1411.76,0.2,1.4,0.0,FRA
Nice,1698.52,1.6,1.2,0.7,FRA
Le Havre,1533.61,1.2,2.4,0.3,FRA
Laval,1432.22,1.2,1.6,0.5,FRA
Gueugnon,1369.86,1.0,1.0,0.6,FRA
Chateauroux,1261.46,0.6,1.6,0.1,FRA
Martigues,1350.03,1.2,1.6,0.3,FRA
Caen,1329.72,1.0,2.4,0.3,FRA
Cannes,1409.56,1.4,2.6,0.2,FRA
Beauvais,1452.29,0.8,0.4,0.5,FRA
Montpellier,1492.39,0.4,2.4,0.1,FRA
Creteil,1339.03,1.4,1.8,0.4,FRA
Lorient,1594.05,2.4,0.6,0.7,FRA
Toulouse,1640.94,0.8,1.0,0.4,FRA
Bastia,1442.23,2.0,1.8,0.4,FRA
Nantes,1572.35,0.6,1.0,0.3,FRA
Lens,1668.26,1.2,1.8,0.5,FRA
Lyon,1734.61,1.8,1.6,0.4,FRA
Rennes,1663.69,2.2,1.6,0.6,FRA
Ajaccio,1380.09,1.0,1.0,0.6,FRA
Le Mans,1298.77,0.8,1.6,0.3,FRA
Lille,1772.78,1.6,1.0,0.7,FRA
Monaco,1774.4,1.8,0.4,0.8,FRA
Guingamp,1455.05,1.6,2.2,0.3,FRA
St Etienne,1533.12,1.8,2.0,0.5,FRA
Bordeaux,1436.39,1.8,1.4,0.4,FRA
Metz,1561.29,2.4,2.0,0.5,FRA
Auxerre,1624.61,1.6,1.8,0.3,FRA
Sedan,1414.39,0.8,1.8,0.2,FRA
Kocaelispor,1375.86,1.2,2.6,0.2,TUR
Fenerbahce,1693.12,2.2,2.0,0.5,TUR
Dortmund,1815.12,3.2,1.6,0.9,GER
Hansa Rostock,1373.16,0.4,2.2,0.0,GER
Hannover,1472.56,1.2,1.6,0.5,GER
Nurnberg,1414.24,1.8,2.4,0.3,GER
Wimbledon,1325.89,1.2,1.8,0.3,ENG
Tranmere,1374.39,1.4,1.2,0.6,ENG
Sheffield United,1606.57,1.2,1.0,0.4,ENG
Portsmouth,1469.63,1.8,1.4,0.6,ENG
Huddersfield,1395.12,0.4,1.2,0.2,ENG
Watford,1462.46,0.8,1.4,0.2,ENG
Nottm Forest,1731.5,1.2,1.8,0.6,ENG
West Brom,1518.34,0.8,1.6,0.3,ENG
Grimsby,1352.07,0.6,1.6,0.2,ENG
Preston,1454.45,1.2,2.0,0.1,ENG
Werder Bremen,1666.4,1.0,0.6,0.7,GER
Cottbus,1393.82,0.6,2.4,0.2,GER
QPR,1470.89,1.4,2.0,0.5,ENG
Birmingham,1406.69,1.2,0.2,0.9,ENG
Genclerbirligi,1308.11,1.8,2.8,0.4,TUR
Rizespor,1356.08,2.0,1.4,0.6,TUR
Besiktas,1494.38,2.4,1.0,0.7,TUR
Yozgatspor,1364.65,1.4,1.4,0.4,TUR
MGladbach,1656.9,1.6,1.0,0.6,GER
Saarbrucken,1397.49,0.2,2.0,0.2,GER
Leverkusen,1851.95,1.4,1.4,0.5,GER
Wolfsburg,1636.86,1.2,2.4,0.2,GER
Fulham,1776.09,1.4,1.8,0.4,ENG
Crewe,1402.18,2.0,1.0,0.7,ENG
Hamburg,1565.9,3.0,1.8,0.5,GER
Munich 1860,1411.86,0.8,1.2,0.3,GER
Freiburg,1695.54,2.0,1.2,0.9,GER
Stuttgart,1710.07,2.0,1.4,0.5,GER
